lag_s,AIBL,AVEL,AVAL,RIML,ASEL,ASER,AWAL,AWCL
-3.7487447278569994,0.02345543416011337,0.011469990592693314,0.013064545056251715,0.01043201129743597,0.04028058843759591,0.06468603660948588,0.07550108696467955,-0.021981078894672938
-3.3738702550713,0.02140111540514006,0.011000010345221542,0.012126937166950567,0.009298761051771095,0.04256411952469885,0.06824256759642561,0.07837554598705956,-0.025755185593579567
-2.9989957822855997,0.019041649252530424,0.010393106840025009,0.011047347522655397,0.008180186125396966,0.04479540148249784,0.07179330458305981,0.08077322720791312,-0.029637801397135642
-2.6241213094998996,0.016528989071233444,0.00954851369444271,0.009941335511956714,0.006987899261073768,0.04705089518703859,0.07505875978496979,0.08360716043226725,-0.033305821294686844
-2.2492468367141996,0.014361304515466237,0.008639209090750695,0.008751339853158875,0.005932642774591023,0.04960570756019608,0.07863567696433801,0.08685051088518418,-0.03720668673479481
-1.8743723639284997,0.011914246624683765,0.00776990101368219,0.0075207124084901485,0.004677402646183944,0.05145598705056745,0.0817648023352759,0.08984208480410878,-0.04125389092198378
-1.4994978911427999,0.009564599229520925,0.006773840691282758,0.00624620511228528,0.003659453182579023,0.05339565369821109,0.08492148657255395,0.09188531606257916,-0.04554328622200157
-1.1246234183570998,0.0064989138099707565,0.0058815309793368645,0.0048621890621257085,0.0023716129018473476,0.05511123847480445,0.08790910171749088,0.09399311820218471,-0.0495466637160986
-0.7497489455713999,0.003471129273798043,0.004804391375095826,0.0034179378690339496,0.0011401602203887581,0.05727716186347493,0.09080354441890039,0.09637088776767952,-0.05360118413632507
-0.37487447278569996,0.00040147479228553874,0.0037158009347324846,0.0018836978089273489,-0.00023693834546668446,0.05872546425794705,0.09360508033858154,0.09819071800990573,-0.05789145996129587
0.0,-0.0026368640462234695,0.002508615486061884,0.00022240537234570913,-0.0017574128002889257,0.06012699062744134,0.09556726022123532,0.09980956065395206,-0.06218022258857704
0.37487447278569996,-0.005417855642205051,0.0014232455797417811,-0.0013773020512654398,-0.003131700349840494,0.061266310076351325,0.09790753357298138,0.10148001527777598,-0.06586191568447283
0.7497489455713999,-0.007826148209595565,0.0002961563857532801,-0.003153301013584695,-0.004686989424688669,0.06203348385155663,0.10003663606366058,0.10266274197272723,-0.06805971488101879
1.1246234183570998,-0.01070404480417704,-0.0011702424654659316,-0.0048611549403405185,-0.006147088429512917,0.06240317965741974,0.10189474623031428,0.10232082871326573,-0.06919796113339448
1.4994978911427999,-0.013117433980135143,-0.002667062710530057,-0.00664294549168104,-0.007760314738360275,0.06253007239795932,0.10301081545553716,0.10075572087599675,-0.06908837796617102
1.8743723639284997,-0.015243288000964712,-0.00421516388670314,-0.008439406022844542,-0.009366290174851518,0.061995798117884034,0.1038610728866637,0.09837389749573826,-0.06802089167232055
2.2492468367141996,-0.0170404767461905,-0.0057429621305535895,-0.010314393093623213,-0.011052355523779384,0.061577801497129256,0.10380905902750567,0.09558310399677003,-0.06586141104571548
2.6241213094998996,-0.019087476616196624,-0.007201418899120352,-0.012092857275410346,-0.012695321925208732,0.060753125768632385,0.1035132365003875,0.09288401035781488,-0.06350369766785041
2.9989957822855997,-0.021132180970557062,-0.008783665387897571,-0.013864905659940918,-0.014291007548116024,0.059374050464959166,0.1028561908922833,0.08944404461687229,-0.06008240726764743
3.3738702550713,-0.02301648160504331,-0.010303753958495294,-0.015487433192612036,-0.015810777700570173,0.05789243025668253,0.10163801719399303,0.08610621484107496,-0.05630681521714515
3.7487447278569994,-0.025113878456570156,-0.011756334560152886,-0.017139555869735392,-0.017416921230664788,0.056237220131740026,0.10002536582685347,0.0824311756858094,-0.05210700296291125
4.1236192006426995,-0.02691934338817666,-0.013300493218592389,-0.018758636553146652,-0.018817933400542757,0.0551131777270166,0.09817149598275617,0.07834616727112687,-0.04773425090703227
4.498493673428399,-0.028284728213941526,-0.014697749411240496,-0.020161378400404238,-0.020121135363940272,0.054207801337210024,0.09622949949573517,0.07399615908908039,-0.04295533041396299
4.8733681462141,-0.03001761315846222,-0.016309454164505337,-0.021615414555701533,-0.02141596871950651,0.053011932610565846,0.09453106594624974,0.0699302843463764,-0.03800110203479973
5.248242618999799,-0.03170399651159311,-0.01764693356391927,-0.022925791864098252,-0.022724345744993553,0.051741667259558574,0.09279674281608927,0.06594236891438045,-0.0331644522735672
5.6231170917855,-0.03308536963267047,-0.018971852096779502,-0.02410611397972216,-0.023722976962906678,0.049994196826143235,0.09047409103766446,0.06190516287924942,-0.028471682424797914
5.997991564571199,-0.03442116591247944,-0.02028365504982461,-0.02508691575403589,-0.02453172889744062,0.0485218437476197,0.08816817096223524,0.05722341570195384,-0.02296239536718629
6.372866037356899,-0.03547848706898464,-0.021399161795960284,-0.02589874795451077,-0.025396221328184667,0.047653579375113955,0.08604848063185565,0.0528133426117711,-0.018065792455433688
6.7477405101426,-0.03638329352917356,-0.02240815118141708,-0.026710729388872277,-0.026047862301612885,0.0461251615360526,0.08352028224806089,0.0479187650656152,-0.01293378987474577
7.122614982928299,-0.03707060221387296,-0.023459861410884575,-0.027346416933369238,-0.026458783024514845,0.04501198083886697,0.08095819584423791,0.04354756788879765,-0.007683837101318211
7.497489455713999,-0.037650307697734114,-0.024248781020582512,-0.027868701446624563,-0.026920050533904595,0.043945714328282905,0.0786644888411823,0.0394967812126321,-0.002712387857828778
7.872363928499699,-0.03811460760026849,-0.025125646592695214,-0.028324274045772747,-0.02714919156269049,0.04265999197445526,0.07635587032147685,0.035621812484537836,0.002276950597142926
8.247238401285399,-0.03865642083652775,-0.02591190271374806,-0.02876208804075925,-0.02725980628820232,0.04131285230750062,0.07422362272051043,0.032536273122439154,0.007515347521677288
8.6221128740711,-0.039179890314125214,-0.0266681937498663,-0.029079348701005144,-0.027239653179820602,0.039848959064767306,0.07203358921811161,0.02913232089104851,0.012962309017905628
8.996987346856798,-0.039572519036665775,-0.02721759221928631,-0.02931821886831042,-0.027139622403786885,0.038831505603834346,0.06983735118223752,0.02590076843485952,0.017898774421482456
9.371861819642499,-0.03967014552778522,-0.027668083269222807,-0.029566199054484384,-0.027087442585041494,0.037445372827568046,0.06751009865176735,0.02233455419229605,0.02269681608786205
9.7467362924282,-0.0399234597501817,-0.028092788928659417,-0.029737514462978815,-0.027046023024311625,0.03609471391812298,0.06508889886216927,0.018928120471060524,0.02793424003996843
10.1216107652139,-0.03950214096149325,-0.02858259519513602,-0.029844545363532708,-0.026846509505468307,0.03485306645125037,0.06268036254772394,0.015619728954136651,0.03302839091443216
10.496485237999599,-0.03934519670321708,-0.02902027066774259,-0.029794934956658147,-0.026400300140034492,0.033912291108425925,0.06004997953411081,0.012933942619382199,0.037616220246804076
10.871359710785299,-0.03916092294651581,-0.02925209574719683,-0.029652953985411065,-0.025867405767559012,0.03268175222018634,0.05761877948808085,0.010477994136652829,0.04227347765099239
11.246234183571,-0.03869718080643089,-0.029308000466530596,-0.029257765345641177,-0.02529229437678331,0.03185418791849175,0.055486643215653934,0.007580962228290832,0.046892720651931764
11.621108656356698,-0.03848755424307754,-0.029294937436667747,-0.028676957460010886,-0.024542941606758496,0.030594874115507546,0.052924176605426074,0.005214977528403188,0.051584231278073926
